g_ac_id,g_ac,g_block,g_gp,g_district,g_pc,Sl..No..of.PCs,Notified.Area.Council..NAC.,Municipality..M.,Municipal.Corporation..MC.,Outgrowth..OG.,g_match_id
1,1 padampur,padampur (nac),padmapur (nac) - ward no.1,baragarh,bargarh,1,padampur (nac),NA,NA,NA,1
1,1 padampur,padampur (nac),padmapur (nac) - ward no.10,baragarh,bargarh,1,padampur (nac),NA,NA,NA,2
1,1 padampur,padampur (nac),padmapur (nac) - ward no.11,baragarh,bargarh,1,padampur (nac),NA,NA,NA,3
1,1 padampur,padampur (nac),padmapur (nac) - ward no.2,baragarh,bargarh,1,padampur (nac),NA,NA,NA,4
1,1 padampur,padampur (nac),padmapur (nac) - ward no.3,baragarh,bargarh,1,padampur (nac),NA,NA,NA,5
1,1 padampur,padampur (nac),padmapur (nac) - ward no.4,baragarh,bargarh,1,padampur (nac),NA,NA,NA,6
1,1 padampur,padampur (nac),padmapur (nac) - ward no.5,baragarh,bargarh,1,padampur (nac),NA,NA,NA,7
1,1 padampur,padampur (nac),padmapur (nac) - ward no.6,baragarh,bargarh,1,padampur (nac),NA,NA,NA,8
1,1 padampur,padampur (nac),padmapur (nac) - ward no.7,baragarh,bargarh,1,padampur (nac),NA,NA,NA,9
1,1 padampur,padampur (nac),padmapur (nac) - ward no.8,baragarh,bargarh,1,padampur (nac),NA,NA,NA,10
1,1 padampur,padampur (nac),padmapur (nac) - ward no.9,baragarh,bargarh,1,padampur (nac),NA,NA,NA,11
2,2 bijepur,barpali (nac),barapali (nac) - ward no.1,baragarh,bargarh,1,barpali (nac),NA,NA,NA,12
2,2 bijepur,barpali (nac),barapali (nac) - ward no.10,baragarh,bargarh,1,barpali (nac),NA,NA,NA,13
2,2 bijepur,barpali (nac),barapali (nac) - ward no.11,baragarh,bargarh,1,barpali (nac),NA,NA,NA,14
2,2 bijepur,barpali (nac),barapali (nac) - ward no.2,baragarh,bargarh,1,barpali (nac),NA,NA,NA,15
2,2 bijepur,barpali (nac),barapali (nac) - ward no.3,baragarh,bargarh,1,barpali (nac),NA,NA,NA,16
2,2 bijepur,barpali (nac),barapali (nac) - ward no.4,baragarh,bargarh,1,barpali (nac),NA,NA,NA,17
2,2 bijepur,barpali (nac),barapali (nac) - ward no.5,baragarh,bargarh,1,barpali (nac),NA,NA,NA,18
2,2 bijepur,barpali (nac),barapali (nac) - ward no.6,baragarh,bargarh,1,barpali (nac),NA,NA,NA,19
2,2 bijepur,barpali (nac),barapali (nac) - ward no.7,baragarh,bargarh,1,barpali (nac),NA,NA,NA,20
2,2 bijepur,barpali (nac),barapali (nac) - ward no.8,baragarh,bargarh,1,barpali (nac),NA,NA,NA,21
2,2 bijepur,barpali (nac),barapali (nac) - ward no.9,baragarh,bargarh,1,barpali (nac),NA,NA,NA,22
3,3 bargarh,bargarh (m),bargarh (m) - ward no.1,baragarh,bargarh,1,NA,bargarh (m),NA,NA,23
3,3 bargarh,bargarh (m),bargarh (m) - ward no.10,baragarh,bargarh,1,NA,bargarh (m),NA,NA,24
3,3 bargarh,bargarh (m),bargarh (m) - ward no.11,baragarh,bargarh,1,NA,bargarh (m),NA,NA,25
3,3 bargarh,bargarh (m),bargarh (m) - ward no.12,baragarh,bargarh,1,NA,bargarh (m),NA,NA,26
3,3 bargarh,bargarh (m),bargarh (m) - ward no.13,baragarh,bargarh,1,NA,bargarh (m),NA,NA,27
3,3 bargarh,bargarh (m),bargarh (m) - ward no.14,baragarh,bargarh,1,NA,bargarh (m),NA,NA,28
3,3 bargarh,bargarh (m),bargarh (m) - ward no.15,baragarh,bargarh,1,NA,bargarh (m),NA,NA,29
3,3 bargarh,bargarh (m),bargarh (m) - ward no.16,baragarh,bargarh,1,NA,bargarh (m),NA,NA,30
3,3 bargarh,bargarh (m),bargarh (m) - ward no.17,baragarh,bargarh,1,NA,bargarh (m),NA,NA,31
3,3 bargarh,bargarh (m),bargarh (m) - ward no. 18,baragarh,bargarh,1,NA,bargarh (m),NA,NA,32
3,3 bargarh,bargarh (m),bargarh (m) - ward no. 19,baragarh,bargarh,1,NA,bargarh (m),NA,NA,33
3,3 bargarh,bargarh (m),bargarh (m) - ward no.2,baragarh,bargarh,1,NA,bargarh (m),NA,NA,34
3,3 bargarh,bargarh (m),bargarh (m) - ward no.3,baragarh,bargarh,1,NA,bargarh (m),NA,NA,35
3,3 bargarh,bargarh (m),bargarh (m) - ward no.4,baragarh,bargarh,1,NA,bargarh (m),NA,NA,36
3,3 bargarh,bargarh (m),bargarh (m) - ward no.5,baragarh,bargarh,1,NA,bargarh (m),NA,NA,37
3,3 bargarh,bargarh (m),bargarh (m) - ward no.6,baragarh,bargarh,1,NA,bargarh (m),NA,NA,38
3,3 bargarh,bargarh (m),bargarh (m) - ward no.7,baragarh,bargarh,1,NA,bargarh (m),NA,NA,39
3,3 bargarh,bargarh (m),bargarh (m) - ward no.8,baragarh,bargarh,1,NA,bargarh (m),NA,NA,40
3,3 bargarh,bargarh (m),bargarh (m) - ward no.9,baragarh,bargarh,1,NA,bargarh (m),NA,NA,41
4,4 attabira (sc),attabira (nac),attabira (nac) - ward no. 1,baragarh,bargarh,1,attabira (nac),NA,NA,NA,42
4,4 attabira (sc),attabira (nac),attabira (nac) - ward no. 10,baragarh,bargarh,1,attabira (nac),NA,NA,NA,43
4,4 attabira (sc),attabira (nac),attabira (nac) - ward no. 11,baragarh,bargarh,1,attabira (nac),NA,NA,NA,44
4,4 attabira (sc),attabira (nac),attabira (nac) - ward no. 12,baragarh,bargarh,1,attabira (nac),NA,NA,NA,45
4,4 attabira (sc),attabira (nac),attabira (nac) - ward no. 2,baragarh,bargarh,1,attabira (nac),NA,NA,NA,46
4,4 attabira (sc),attabira (nac),attabira (nac) - ward no. 3,baragarh,bargarh,1,attabira (nac),NA,NA,NA,47
4,4 attabira (sc),attabira (nac),attabira (nac) - ward no. 4,baragarh,bargarh,1,attabira (nac),NA,NA,NA,48
4,4 attabira (sc),attabira (nac),attabira (nac) - ward no. 5,baragarh,bargarh,1,attabira (nac),NA,NA,NA,49
4,4 attabira (sc),attabira (nac),attabira (nac) - ward no. 6,baragarh,bargarh,1,attabira (nac),NA,NA,NA,50
4,4 attabira (sc),attabira (nac),attabira (nac) - ward no. 7,baragarh,bargarh,1,attabira (nac),NA,NA,NA,51
4,4 attabira (sc),attabira (nac),attabira (nac) - ward no. 8,baragarh,bargarh,1,attabira (nac),NA,NA,NA,52
4,4 attabira (sc),attabira (nac),attabira (nac) - ward no. 9,baragarh,bargarh,1,attabira (nac),NA,NA,NA,53
6,6 brajarajnagar,belpahar (nac),belpahar (m) - ward no.1,jharsuguda,bargarh,1,belpahar (nac),NA,NA,NA,54
6,6 brajarajnagar,belpahar (nac),belpahar (m) - ward no.10,jharsuguda,bargarh,1,belpahar (nac),NA,NA,NA,55
6,6 brajarajnagar,belpahar (nac),belpahar (m) - ward no.11,jharsuguda,bargarh,1,belpahar (nac),NA,NA,NA,56
6,6 brajarajnagar,belpahar (nac),belpahar (m) - ward no.12,jharsuguda,bargarh,1,belpahar (nac),NA,NA,NA,57
6,6 brajarajnagar,belpahar (nac),belpahar (m) - ward no.13,jharsuguda,bargarh,1,belpahar (nac),NA,NA,NA,58
6,6 brajarajnagar,belpahar (nac),belpahar (m) - ward no.14,jharsuguda,bargarh,1,belpahar (nac),NA,NA,NA,59
6,6 brajarajnagar,belpahar (nac),belpahar (m) - ward no.15,jharsuguda,bargarh,1,belpahar (nac),NA,NA,NA,60
6,6 brajarajnagar,belpahar (nac),belpahar (m) - ward no.16,jharsuguda,bargarh,1,belpahar (nac),NA,NA,NA,61
6,6 brajarajnagar,belpahar (nac),belpahar (m) - ward no.2,jharsuguda,bargarh,1,belpahar (nac),NA,NA,NA,62
6,6 brajarajnagar,belpahar (nac),belpahar (m) - ward no.3,jharsuguda,bargarh,1,belpahar (nac),NA,NA,NA,63
6,6 brajarajnagar,belpahar (nac),belpahar (m) - ward no.4,jharsuguda,bargarh,1,belpahar (nac),NA,NA,NA,64
6,6 brajarajnagar,belpahar (nac),belpahar (m) - ward no.5,jharsuguda,bargarh,1,belpahar (nac),NA,NA,NA,65
6,6 brajarajnagar,belpahar (nac),belpahar (m) - ward no.6,jharsuguda,bargarh,1,belpahar (nac),NA,NA,NA,66
6,6 brajarajnagar,belpahar (nac),belpahar (m) - ward no.7,jharsuguda,bargarh,1,belpahar (nac),NA,NA,NA,67
6,6 brajarajnagar,belpahar (nac),belpahar (m) - ward no.8,jharsuguda,bargarh,1,belpahar (nac),NA,NA,NA,68
6,6 brajarajnagar,belpahar (nac),belpahar (m) - ward no.9,jharsuguda,bargarh,1,belpahar (nac),NA,NA,NA,69
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 1,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,70
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 2,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,71
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 3,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,72
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 4,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,73
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 5,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,74
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 6,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,75
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 7,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,76
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 8,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,77
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 9,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,78
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 10,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,79
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 11,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,80
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 12,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,81
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 13,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,82
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 14,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,83
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 15,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,84
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 16,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,85
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 17,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,86
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 18,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,87
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 19,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,88
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 20,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,89
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 21,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,90
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 22,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,91
6,6 brajarajnagar,brajarajnagar (m),brajarajnagar ward no - 23,jharsuguda,bargarh,1,NA,brajarajnagar (m),NA,NA,92
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.1,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,93
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.10,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,94
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.11,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,95
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.12,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,96
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.13,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,97
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.14,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,98
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.15,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,99
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.16,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,100
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.17,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,101
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.18,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,102
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.19,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,103
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.2,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,104
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.20,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,105
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.21,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,106
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.22,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,107
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.23,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,108
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.24,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,109
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.3,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,110
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.4,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,111
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.5,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,112
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.6,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,113
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.7,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,114
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.8,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,115
7,7 jharsuguda,jharsuguda (m),jharsuguda (m) - ward no.9,jharsuguda,bargarh,1,NA,jharsuguda (m),NA,NA,116
9,9 sundargarh (st),sundargarh (m),sundargarh (m) - ward no.1,sundargarh,sundargarh (st),2,NA,sundargarh (m),NA,NA,117
9,9 sundargarh (st),sundargarh (m),sundargarh (m) - ward no.10,sundargarh,sundargarh (st),2,NA,sundargarh (m),NA,NA,118
9,9 sundargarh (st),sundargarh (m),sundargarh (m) - ward no.11,sundargarh,sundargarh (st),2,NA,sundargarh (m),NA,NA,119
9,9 sundargarh (st),sundargarh (m),sundargarh (m) - ward no.12,sundargarh,sundargarh (st),2,NA,sundargarh (m),NA,NA,120
9,9 sundargarh (st),sundargarh (m),sundargarh (m) - ward no.13,sundargarh,sundargarh (st),2,NA,sundargarh (m),NA,NA,121
9,9 sundargarh (st),sundargarh (m),sundargarh (m) - ward no.14,sundargarh,sundargarh (st),2,NA,sundargarh (m),NA,NA,122
9,9 sundargarh (st),sundargarh (m),sundargarh (m) - ward no.15,sundargarh,sundargarh (st),2,NA,sundargarh (m),NA,NA,123
9,9 sundargarh (st),sundargarh (m),sundargarh (m) - ward no.16,sundargarh,sundargarh (st),2,NA,sundargarh (m),NA,NA,124
9,9 sundargarh (st),sundargarh (m),sundargarh (m) - ward no.17,sundargarh,sundargarh (st),2,NA,sundargarh (m),NA,NA,125
9,9 sundargarh (st),sundargarh (m),sundargarh (m) - ward no.18,sundargarh,sundargarh (st),2,NA,sundargarh (m),NA,NA,126
9,9 sundargarh (st),sundargarh (m),sundargarh (m) - ward no.19,sundargarh,sundargarh (st),2,NA,sundargarh (m),NA,NA,127
9,9 sundargarh (st),sundargarh (m),sundargarh (m) - ward no.2,sundargarh,sundargarh (st),2,NA,sundargarh (m),NA,NA,128
9,9 sundargarh (st),sundargarh (m),sundargarh (m) - ward no.3,sundargarh,sundargarh (st),2,NA,sundargarh (m),NA,NA,129
9,9 sundargarh (st),sundargarh (m),sundargarh (m) - ward no.4,sundargarh,sundargarh (st),2,NA,sundargarh (m),NA,NA,130
9,9 sundargarh (st),sundargarh (m),sundargarh (m) - ward no.5,sundargarh,sundargarh (st),2,NA,sundargarh (m),NA,NA,131
9,9 sundargarh (st),sundargarh (m),sundargarh (m) - ward no.6,sundargarh,sundargarh (st),2,NA,sundargarh (m),NA,NA,132
9,9 sundargarh (st),sundargarh (m),sundargarh (m) - ward no.7,sundargarh,sundargarh (st),2,NA,sundargarh (m),NA,NA,133
9,9 sundargarh (st),sundargarh (m),sundargarh (m) - ward no.8,sundargarh,sundargarh (st),2,NA,sundargarh (m),NA,NA,134
9,9 sundargarh (st),sundargarh (m),sundargarh (m) - ward no.9,sundargarh,sundargarh (st),2,NA,sundargarh (m),NA,NA,135
10,10 biramitrapur (st),birmitrapur (m),biramitrapur (m) - ward no.1,sundargarh,sundargarh (st),2,NA,birmitrapur (m),NA,NA,136
10,10 biramitrapur (st),birmitrapur (m),biramitrapur (m) - ward no.10,sundargarh,sundargarh (st),2,NA,birmitrapur (m),NA,NA,137
10,10 biramitrapur (st),birmitrapur (m),biramitrapur (m) - ward no.11,sundargarh,sundargarh (st),2,NA,birmitrapur (m),NA,NA,138
10,10 biramitrapur (st),birmitrapur (m),biramitrapur (m) - ward no.2,sundargarh,sundargarh (st),2,NA,birmitrapur (m),NA,NA,139
10,10 biramitrapur (st),birmitrapur (m),biramitrapur (m) - ward no.3,sundargarh,sundargarh (st),2,NA,birmitrapur (m),NA,NA,140
10,10 biramitrapur (st),birmitrapur (m),biramitrapur (m) - ward no.4,sundargarh,sundargarh (st),2,NA,birmitrapur (m),NA,NA,141
10,10 biramitrapur (st),birmitrapur (m),biramitrapur (m) - ward no.5,sundargarh,sundargarh (st),2,NA,birmitrapur (m),NA,NA,142
10,10 biramitrapur (st),birmitrapur (m),biramitrapur (m) - ward no.6,sundargarh,sundargarh (st),2,NA,birmitrapur (m),NA,NA,143
10,10 biramitrapur (st),birmitrapur (m),biramitrapur (m) - ward no.7,sundargarh,sundargarh (st),2,NA,birmitrapur (m),NA,NA,144
10,10 biramitrapur (st),birmitrapur (m),biramitrapur (m) - ward no.8,sundargarh,sundargarh (st),2,NA,birmitrapur (m),NA,NA,145
10,10 biramitrapur (st),birmitrapur (m),biramitrapur (m) - ward no.9,sundargarh,sundargarh (st),2,NA,birmitrapur (m),NA,NA,146
11,11 raghunathpali (sc),rourkela township,"kulunga industrial estate and other colony area (og) e.block no. 407-437, 498 and 504 - ward no.33",sundargarh,sundargarh (st),2,NA,NA,NA,rourkela township,147
11,11 raghunathpali (sc),rourkela township,"kulunga industrial estate and other colony area (og) e.block no. 407-437, 498 and 504 - ward no.34",sundargarh,sundargarh (st),2,NA,NA,NA,rourkela township,148
11,11 raghunathpali (sc),rourkela township,"kulunga industrial estate and other colony area (og) e.block no. 438-474, 477-478, 490 and 496 - ward no.35",sundargarh,sundargarh (st),2,NA,NA,NA,rourkela township,149
11,11 raghunathpali (sc),rourkela township,"kulunga industrial estate and other colony area (og) e.block no. 438-474, 477-478, 490 and 496 - ward no.36",sundargarh,sundargarh (st),2,NA,NA,NA,rourkela township,150
11,11 raghunathpali (sc),rourkela township,"kulunga industrial estate and other colony area (og) e.block no. 438-474, 477-478, 490 and 496 - ward no.37",sundargarh,sundargarh (st),2,NA,NA,NA,rourkela township,151
11,11 raghunathpali (sc),rourkela township,"kulunga industrial estate and other colony area (og) e.block no. 438-474, 477-478, 490 and 496 - ward no.38",sundargarh,sundargarh (st),2,NA,NA,NA,rourkela township,152
11,11 raghunathpali (sc),rourkela township,"kulunga industrial estate and other colony area (og) e.block no. 438-474, 477-478, 490 and 496 - ward no.39",sundargarh,sundargarh (st),2,NA,NA,NA,rourkela township,153
11,11 raghunathpali (sc),rourkela township,"kulunga industrial estate and other colony area (og) e.block no. 438-474, 477-478, 490 and 496 - ward no.40",sundargarh,sundargarh (st),2,NA,NA,NA,rourkela township,154
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.1,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,155
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.10,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,156
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.11,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,157
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.12,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,158
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.13,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,159
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.14,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,160
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.15,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,161
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.16,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,162
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.17,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,163
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.18,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,164
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.19,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,165
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.2,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,166
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.20,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,167
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.21,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,168
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.22,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,169
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.23,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,170
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.24,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,171
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.25,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,172
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.26,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,173
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.27,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,174
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.28,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,175
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.29,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,176
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.3,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,177
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.30,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,178
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.31,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,179
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.32,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,180
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.33,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,181
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.4,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,182
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.5,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,183
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.6,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,184
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.7,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,185
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.8,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,186
12,12 rourkela,rourkela (m),raurkela (m corp.) - ward no.9,sundargarh,sundargarh (st),2,NA,rourkela (m),NA,NA,187
12,12 rourkela,kulunga (o.g),not available,sundargarh,sundargarh (st),2,NA,NA,NA,kulunga (o.g),188
13,13 rajgangpur (st),"rajgangpur (m) including ocl industrial
township(it)",rajagangapur (m) - ward no.1,sundargarh,sundargarh (st),2,NA,"rajgangpur (m) including ocl industrial
township(it)",NA,NA,189
13,13 rajgangpur (st),"rajgangpur (m) including ocl industrial
township(it)",rajagangapur (m) - ward no.10,sundargarh,sundargarh (st),2,NA,"rajgangpur (m) including ocl industrial
township(it)",NA,NA,190
13,13 rajgangpur (st),"rajgangpur (m) including ocl industrial
township(it)",rajagangapur (m) - ward no.11,sundargarh,sundargarh (st),2,NA,"rajgangpur (m) including ocl industrial
township(it)",NA,NA,191
13,13 rajgangpur (st),"rajgangpur (m) including ocl industrial
township(it)",rajagangapur (m) - ward no.12,sundargarh,sundargarh (st),2,NA,"rajgangpur (m) including ocl industrial
township(it)",NA,NA,192
13,13 rajgangpur (st),"rajgangpur (m) including ocl industrial
township(it)",rajagangapur (m) - ward no.13,sundargarh,sundargarh (st),2,NA,"rajgangpur (m) including ocl industrial
township(it)",NA,NA,193
13,13 rajgangpur (st),"rajgangpur (m) including ocl industrial
township(it)",rajagangapur (m) - ward no.14,sundargarh,sundargarh (st),2,NA,"rajgangpur (m) including ocl industrial
township(it)",NA,NA,194
13,13 rajgangpur (st),"rajgangpur (m) including ocl industrial
township(it)",rajagangapur (m) - ward no.15,sundargarh,sundargarh (st),2,NA,"rajgangpur (m) including ocl industrial
township(it)",NA,NA,195
13,13 rajgangpur (st),"rajgangpur (m) including ocl industrial
township(it)",rajagangapur (m) - ward no.16,sundargarh,sundargarh (st),2,NA,"rajgangpur (m) including ocl industrial
township(it)",NA,NA,196
13,13 rajgangpur (st),"rajgangpur (m) including ocl industrial
township(it)",rajagangapur (m) - ward no.17,sundargarh,sundargarh (st),2,NA,"rajgangpur (m) including ocl industrial
township(it)",NA,NA,197
13,13 rajgangpur (st),"rajgangpur (m) including ocl industrial
township(it)",rajagangapur (m) - ward no.18,sundargarh,sundargarh (st),2,NA,"rajgangpur (m) including ocl industrial
township(it)",NA,NA,198
